DataZone,IncNumDep,EmpNumDep,HouseNumOC,EduNoQuals
S01008806,0.70273843,0.719375815,0.709694852,0.887440851
S01008807,0.726828782,0.752902642,0.743876477,0.850421951
S01008808,0.726828782,0.752902642,0.755874337,0.745046597
S01008809,0.504317414,0.55088054,0.590094848,0.724627502
S01008810,0.54188258,0.423418785,0.527588044,0.711403129
S01008811,0.504317414,0.59191406,0.697375261,0.814190378
S01008812,0.504317414,0.497979132,0.609752291,0.735159671
S01008813,0.843516844,0.880364397,0.848404093,0.873634493
S01008814,0.737693538,0.767621571,0.747431543,0.82622845
S01008815,0.805951679,0.837405326,0.792424887,0.907918891
S01008816,0.658570642,0.700001234,0.799661586,0.788260012
S01008817,0.791303724,0.816952217,0.816849397,0.844489252
S01008818,0.598526095,0.625440887,0.652161107,0.819315761
S01008819,0.598526095,0.625440887,0.576033418,0.652694025
S01008820,0.891946766,0.921397917,0.831933968,0.897694201
S01008821,0.640833695,0.497979132,0.61985351,0.731724733
S01008822,0.572575555,0.55088054,0.610838405,0.58723736
S01008823,0.572575555,0.497979132,0.637717604,0.603394433
S01008824,0.598526095,0.497979132,0.62026826,0.681180447
S01008825,0.455887493,0.423418785,0.622970992,0.532066721
S01008826,0.689263617,0.752902642,0.7022648,0.800048898
S01008827,0.455887493,0.29595703,0.320571435,0.335696725
S01008828,0.598526095,0.59191406,0.643021932,0.760287718
S01008829,0.598526095,0.55088054,0.745875502,0.607193103
S01008830,0.504317414,0.55088054,0.608396985,0.554369159
S01008831,0.504317414,0.497979132,0.531863793,0.491495525
S01008832,0.455887493,0.497979132,0.695788342,0.559494542
S01008833,0.640833695,0.497979132,0.503285119,0.634738203
S01008834,0.504317414,0.55088054,0.597662019,0.643965629
S01008835,0.658570642,0.625440887,0.754371814,0.618080553
S01008836,0.737693538,0.793936162,0.795332991,0.797758987
S01008837,0.726828782,0.767621571,0.693459028,0.911947806
S01008838,0.640833695,0.700001234,0.649459251,0.860892792
S01008839,0.658570642,0.736902255,0.606833726,0.815228555
S01008840,0.54188258,0.55088054,0.634014162,0.823302037
S01008841,0.27094129,0.423418785,0.676868002,0.694831053
S01008842,0.640833695,0.497979132,0.679575169,0.784548676
S01008843,0.689263617,0.719375815,0.65922895,0.835616909
S01008844,0.598526095,0.59191406,0.569134946,0.797758987
S01008845,0.504317414,0.423418785,0.479092361,0.774213243
S01008846,0.621005476,0.653787415,0.583923025,0.74977189
S01008847,0.387629352,0.423418785,0.469223975,0.701246573
S01008848,0.572575555,0.625440887,0.578080453,0.707416853
S01008849,0.27094129,0.423418785,0.435147989,0.764592934
S01008850,0.27094129,0.423418785,0.480723845,0.690407872
S01008851,0.791303724,0.78124917,0.645536391,0.899546259
S01008852,0.504317414,0.55088054,0.442071249,0.676361104
S01008853,0.387629352,0.423418785,0.319471052,0.736850115
S01008854,0.27094129,0.423418785,0.297402684,0.767400587
S01008855,0.504317414,0.59191406,0.466351811,0.768786312
S01008856,0.54188258,0.497979132,0.555800284,0.741817769
S01008857,0.504317414,0.55088054,0.571115509,0.705386184
S01008858,0.455887493,0.423418785,0.393684725,0.582932145
S01008859,0.70273843,0.55088054,0.558254326,0.837430816
S01008860,0.689263617,0.678342295,0.595185091,0.793079355
S01008861,0.27094129,0.29595703,0.434719482,0.578508964
S01008862,0.621005476,0.625440887,0.535110005,0.811035177
S01008863,0.504317414,0.497979132,0.587337748,0.634738203
S01008864,0.572575555,0.497979132,0.419760574,0.58723736
S01008865,0.54188258,0.497979132,0.583189671,0.634738203
S01008866,0.387629352,0.423418785,0.499661789,0.676361104
S01008867,0.387629352,0.29595703,0.425694947,0.54360277
S01008868,0.621005476,0.678342295,0.467659838,0.779463657
S01008869,0.621005476,0.625440887,0.534311624,0.741817769
S01008870,0.504317414,0.423418785,0.505459361,0.694831053
S01008871,0.504317414,0.497979132,0.405899769,0.800048898
S01008872,0.640833695,0.625440887,0.634488149,0.736850115
S01008873,0.27094129,0.423418785,0.400372591,0.554369159
S01008874,0.674615661,0.55088054,0.618487672,0.668851098
S01008875,0.658570642,0.625440887,0.642564501,0.819315761
S01008876,0.455887493,0.423418785,0.600562021,0.371720127
S01008877,0.455887493,0.423418785,0.556522773,0.42603886
S01008878,0.747899408,0.719375815,0.845107907,0.668851098
S01008879,0.726828782,0.59191406,0.758050547,0.582932145
S01008880,0.572575555,0.59191406,0.592077143,0.45738263
S01008881,0.455887493,0.423418785,0.469839131,0.49900553
S01008882,0.455887493,0.423418785,0.451686916,0.525974073
S01008883,0.27094129,0.29595703,0.53777023,0.475338452
S01008884,0.387629352,0.423418785,0.490609527,0
S01008885,0.27094129,0.423418785,0.445170859,0.475338452
S01008886,0.455887493,0.423418785,0.545347672,0.673896384
S01008887,0.54188258,0.423418785,0.512015468,0.519642438
S01008888,0.455887493,0.497979132,0.389032842,0.599504221
S01008889,0.455887493,0.29595703,0.683687124,0.666268067
S01008890,0.455887493,0.497979132,0.654901818,0.559494542
S01008891,0.455887493,0.29595703,0.580379033,0.525974073
S01008892,0.689263617,0.59191406,0.609565275,0.67139345
S01008893,0.504317414,0.497979132,0.516730926,0.289254482
S01008894,0.27094129,0.29595703,0.487470335,0.414075165
